cnes,uf,ibge,nome,logradouro,bairro,latitude,longitude
7059957,53,530010,UBS 09 RECANTO DAS EMAS,QD 102 AREA ESPECIAL 01,RECANTO DAS EMAS,-15.8997584436,-48.0559587479
7059965,53,530010,UBS 06 RECANTO DAS EMAS,AV PONTE ALTA QD 604,RECANTO DAS EMAS,-15.9193005003,-48.0609744787
7060343,53,530010,UNIDADE BASICA DE SAUDE QN 08 C RIACHO FUNDO II,QN 08 AE,RIACHO FUNDO II,-15.901157,-48.043664
7075596,53,530010,UBS 7 CAFE SEM TROCO PARANOA,DF 270 KM 2 FAZENDA SANTO ANTONIO,PARANOA,-15.9362382127,-47.5802323491
7108923,53,530010,UBS 01 AGUAS CLARAS,QS 05 LOTE 24 AV AREAL,AGUAS CLARAS,-15.859615,-48.036196
7114397,53,530010,UBS 08 SAMAMBAIA,QS 314 CONJUNTO 05 LOTE 01,SAMAMBAIA SUL,-15.876045,-48.066794
7153368,53,530010,UBS CONSULTORIO NA RUA DE BRASILIA ASA NORTE,SGAS 903,ASA SUL,-15.7983509,-47.8993482
7170939,53,530010,UBS 03 RECANTO DAS EMAS,QD 104 105 AREA ESPECIAL S N LOTE 25,RECANTO DAS EMAS,-15.901925,-48.074326
7236778,53,530010,UBS 02 NUCLEO BANDEIRANTE,RUA 02 AREA ESPECIAL ENTRE LOTE 01 02,METROPOLITANA,-15.8795911385,-47.9738177324
7299877,53,530010,UBS 07 SAMAMBAIA,QUADRA 302 CONJUNTO 5 N,SAMAMBAIA SUL,-15.878026,-48.08263
7347715,53,530010,UBS 1 CEILANDIA,EQNP 7 11SETOR P NORTE,CEILANDIA,-15.819091,-48.12995
7347723,53,530010,UBS 15 CEILANDIA,QNR 02 AREA ESPECIAL 12,CEILANDIA,-15.809039,-48.156573
7360568,53,530010,UBS 10 GAMA,QD 01 CJ D CASA,GAM SUL,-16.0382760789,-48.059322238
7360592,53,530010,UBS 13 GAMA,QUADRA 26 CASA 39 SETOR LESTE GAMA,GAMA OESTE,-16.0245925922,-48.0574607849
7368895,53,530010,UBS 2 SOBRADINHO II,RODOVIA DF 420 COMPLEXO DE SAUDE SETOR DE MANSOES,SOBRADINHO II,-15.639041175,-47.8197956085
